Source,Target,weight
122,121,3
82,62,1
74,47,2
102,103,1
56,31,7
104,143,4
108,109,1
104,105,1
59,53,1
18,48,2
71,76,2
60,29,1
31,32,3
3,2,1
81,95,4
41,55,1
94,102,1
81,75,4
51,103,1
45,74,1
92,118,1
113,110,1
33,29,2
104,130,1
56,21,1
55,33,1
64,63,1
142,126,1
77,87,1
45,6,5
33,103,1
45,46,2
55,71,3
81,74,1
104,97,1
29,19,1
63,29,2
84,18,1
67,31,1
81,80,1
136,116,1
84,120,1
91,97,1
38,85,1
91,31,2
38,62,1
115,141,1
71,53,1
56,92,1
104,110,1
16,94,2
61,34,1
31,53,3
33,35,1
11,9,1
120,116,1
22,47,1
45,48,3
16,40,1
97,85,2
17,20,1
37,19,1
16,34,1
42,32,1
91,38,1
69,19,1
31,6,6
104,127,1
26,24,1
33,88,1
36,118,1
28,19,1
87,16,2
48,121,2
43,32,1
43,31,3
77,80,1
133,132,1
55,84,1
84,75,1
87,28,1
112,121,2
62,124,1
11,15,1
67,6,1
71,89,1
45,47,2
59,34,1
77,45,1
45,103,1
38,9,2
86,67,1
119,30,1
55,66,1
30,76,2
56,64,1
114,144,1
30,37,2
40,6,3
6,68,1
64,69,1
104,118,2
70,53,1
28,34,1
30,19,2
56,29,1
17,23,2
18,71,2
91,92,1
40,31,4
6,53,1
18,24,1
119,98,1
114,116,2
77,75,1
128,62,1
104,86,1
55,73,1
44,55,1
58,30,1
114,30,3
25,23,1
78,141,1
12,6,1
131,94,1
52,53,1
26,38,2
81,87,5
42,43,2
73,70,7
45,72,1
79,71,2
11,23,1
92,124,1
114,123,2
119,118,1
36,45,1
3,﻿0,1
91,71,2
26,56,4
36,110,2
17,70,1
16,108,1
106,85,1
84,53,1
130,40,2
97,106,1
70,78,1
16,129,1
61,31,1
97,93,1
96,95,1
34,53,1
64,109,1
36,48,2
81,106,1
77,78,1
36,6,1
81,93,1
16,124,1
16,127,1
16,31,6
104,16,6
30,116,3
56,18,2
71,32,1
130,71,1
23,9,2
11,28,1
59,61,1
104,38,1
77,81,6
33,19,1
41,56,1
102,23,1
26,60,1
104,145,1
110,124,1
41,32,1
59,31,1
30,89,1
94,143,1
45,62,1
87,70,1
94,28,1
114,112,1
43,9,1
93,96,1
16,62,2
78,138,1
84,128,1
104,114,2
86,127,1
108,103,1
69,6,1
45,40,3
84,9,1
11,30,1
33,66,1
110,126,1
56,63,2
36,84,1
83,95,1
91,94,1
64,66,1
110,135,1
11,12,1
102,129,1
105,85,1
104,122,1
128,125,1
56,89,1
17,99,1
60,33,1
20,24,1
104,29,1
70,32,1
20,21,1
45,53,2
18,22,2
124,125,1
102,144,1
33,89,1
91,75,1
54,29,1
82,101,1
134,94,1
12,13,1
64,31,2
104,107,1
130,126,1
77,70,2
77,102,1
70,47,3
81,18,3
99,82,1
93,95,1
138,121,3
43,93,1
36,116,5
114,110,1
104,71,1
143,102,1
12,14,1
41,43,1
16,38,2
119,16,3
82,9,2
33,51,1
31,9,5
110,112,2
16,64,2
123,126,1
48,40,3
17,71,3
45,101,1
143,129,1
97,105,1
44,45,4
54,19,1
30,144,1
61,46,1
20,7,1
48,49,1
104,62,1
55,75,1
64,33,1
36,114,5
125,127,1
40,126,1
81,51,1
56,62,1
64,108,1
16,88,1
81,22,1
17,73,1
62,125,1
120,122,1
115,116,2
47,32,1
121,116,2
92,98,1
36,94,2
16,147,1
48,31,3
36,123,2
56,30,1
17,11,2
31,62,1
65,33,1
91,18,1
45,52,1
41,92,2
81,47,6
94,95,1
36,31,5
59,46,1
104,139,1
81,72,1
60,61,1
40,62,1
81,16,2
123,142,1
17,77,2
134,118,1
71,129,1
16,109,1
73,30,3
31,21,1
104,94,2
29,38,3
30,27,1
26,62,1
84,92,1
143,123,1
96,38,1
84,62,1
18,122,2
73,102,3
45,30,1
81,105,1
141,118,1
71,14,1
64,34,1
81,70,1
115,143,3
94,71,1
126,127,1
17,55,1
48,120,1
4,9,1
119,104,3
104,137,1
66,68,1
103,95,2
108,62,1
128,127,1
89,95,1
82,73,1
104,84,1
78,139,1
8,5,1
55,54,1
9,100,1
84,122,1
110,18,2
8,7,1
17,44,1
73,108,3
110,62,1
134,98,1
113,138,2
97,94,2
39,28,2
31,68,1
29,46,4
73,74,2
123,102,1
8,4,1
17,74,1
104,146,1
90,89,1
136,135,1
119,114,1
41,127,1
94,129,2
47,95,1
128,124,1
118,147,1
91,87,1
26,25,1
2,1,1
36,23,1
55,70,1
119,102,1
86,45,1
6,14,1
48,29,3
144,145,1
113,115,1
20,19,1
108,102,3
86,128,1
83,102,1
17,26,2
81,92,1
118,129,1
55,113,2
30,88,1
25,22,1
86,125,1
94,38,1
98,95,1
84,126,1
92,62,1
130,132,1
91,32,1
73,40,1
122,132,1
114,121,1
115,129,1
81,98,2
36,46,1
29,132,1
17,45,2
45,50,1
16,141,1
114,94,2
87,33,1
17,18,2
146,121,1
104,140,1
91,77,1
9,47,2
77,71,2
92,71,1
113,112,1
16,24,1
122,135,1
55,29,1
18,25,1
31,50,4
55,30,2
41,126,1
86,92,1
31,47,4
36,81,3
5,7,1
48,38,3
108,47,1
104,129,2
41,104,1
29,126,1
25,24,1
104,92,1
91,55,2
73,78,1
36,115,2
123,118,1
31,19,5
45,85,1
30,100,1
43,28,1
39,119,1
87,31,1
56,103,1
55,69,1
18,120,1
30,33,1
36,53,1
62,47,2
104,141,2
60,74,1
43,96,1
87,14,1
22,24,1
81,86,1
92,127,1
31,29,11
89,88,1
97,72,1
113,30,1
40,103,1
104,78,2
93,98,1
62,22,1
29,6,4
16,69,1
60,71,1
11,22,2
40,28,1
81,60,3
16,145,1
81,82,5
104,128,1
41,42,1
60,53,1
65,64,1
33,28,1
39,118,1
16,13,1
86,110,1
81,40,1
77,100,1
16,6,2
3,1,1
6,19,1
56,79,2
84,116,1
43,94,1
30,18,1
115,98,2
37,31,3
83,89,1
114,146,1
56,71,5
62,126,1
77,103,1
140,16,1
36,112,4
17,56,3
16,23,1
31,28,8
23,75,1
30,40,1
57,95,1
41,62,1
11,19,1
89,75,1
91,51,1
104,30,1
75,103,1
64,47,1
26,28,3
55,19,4
56,73,2
4,5,1
139,137,1
21,7,1
83,53,1
11,14,1
111,112,1
84,45,1
67,33,1
112,116,2
17,30,1
86,16,1
77,83,1
87,94,1
114,117,1
55,47,2
54,45,1
60,46,2
34,19,1
94,40,1
97,96,2
17,49,1
143,145,1
129,126,1
26,18,1
67,16,1
45,51,1
115,29,1
9,53,1
70,85,1
81,64,2
114,142,1
74,71,1
43,98,1
15,6,1
33,53,1
81,67,1
11,18,3
91,83,1
60,64,1
35,28,1
20,22,2
18,23,2
42,37,2
63,46,2
97,87,1
16,29,1
94,123,3
36,30,3
6,51,1
143,142,1
104,85,1
65,31,1
48,112,2
62,9,1
48,47,1
36,120,1
81,45,2
26,9,3
16,73,1
73,71,8
16,98,1
79,70,2
11,21,1
81,71,7
17,25,1
36,47,3
90,14,1
16,19,1
20,16,2
115,142,1
17,40,1
74,70,2
139,121,1
54,40,1
38,106,1
87,72,1
87,88,1
45,19,1
73,48,1
18,102,1
82,102,1
82,103,1
104,113,2
18,75,1
89,23,1
118,126,1
81,62,3
26,11,1
73,75,1
