Source,Target
148,0
148,1
148,2
148,3
149,4
149,5
149,6
149,7
149,8
150,9
150,10
150,11
150,4
151,12
151,6
151,13
151,11
151,14
151,11
151,15
151,16
152,11
152,17
152,18
153,19
153,11
153,20
153,21
153,11
153,20
153,7
154,16
154,18
154,11
154,20
154,22
155,16
155,18
155,11
155,20
155,22
155,23
155,17
155,24
155,18
155,11
155,17
155,25
155,26
156,27
156,28
156,11
156,29
156,30
157,31
157,28
157,19
158,32
158,33
158,34
158,28
158,34
158,31
158,28
158,34
158,35
158,28
159,16
159,36
159,17
159,31
160,37
160,19
160,31
161,38
161,31
161,16
161,39
161,28
162,38
162,31
162,16
162,39
162,28
163,28
163,31
163,29
163,40
164,32
164,31
164,41
164,42
164,37
164,30
164,31
164,42
164,43
164,37
164,30
165,31
165,42
165,43
165,37
165,30
166,44
166,31
166,45
166,46
167,44
167,31
167,45
167,46
168,45
168,31
168,47
168,47
168,44
169,48
169,29
169,31
169,45
169,38
169,6
169,40
170,48
170,29
170,31
170,45
170,38
170,6
170,40
171,48
171,29
171,31
171,45
171,38
171,6
171,40
171,40
171,31
171,17
171,49
172,50
172,31
172,45
172,51
172,6
174,6
174,29
174,36
174,31
174,52
174,45
174,53
175,40
175,54
175,30
175,18
175,29
176,44
176,17
176,31
176,47
176,45
176,55
177,19
177,31
177,55
177,30
177,29
178,19
178,45
178,54
178,55
178,53
178,30
179,31
179,17
179,9
179,23
179,56
179,31
179,36
180,29
180,31
180,46
180,53
181,57
181,46
181,31
181,36
182,31
182,19
182,55
182,9
183,26
183,31
183,28
183,56
184,26
184,31
184,28
184,56
184,30
184,31
184,58
184,16
184,28
185,31
185,26
185,36
185,29
185,36
185,43
185,9
185,31
185,26
185,28
186,33
186,34
187,33
187,34
187,29
187,34
187,59
187,34
187,33
187,46
187,33
187,60
187,33
187,31
187,34
187,31
187,34
187,31
187,46
187,29
187,29
187,31
187,46
187,33
187,53
187,60
187,61
187,34
188,31
188,9
188,38
188,26
189,31
189,9
189,38
189,26
189,31
189,55
189,26
189,62
189,47
190,46
190,31
190,46
190,31
191,31
191,56
191,17
191,21
191,26
192,31
192,60
192,46
193,31
193,58
193,50
194,31
194,58
194,50
195,31
195,58
195,50
196,63
196,56
196,46
196,29
196,31
197,31
197,46
197,31
197,33
197,63
197,29
198,46
198,31
200,63
200,64
200,56
200,31
200,58
201,65
201,64
201,19
201,31
201,34
201,31
201,34
201,33
201,66
201,31
201,67
201,33
201,67
201,31
201,68
201,34
201,33
201,69
201,34
201,6
201,55
201,19
201,33
201,34
201,16
203,31
203,26
203,56
203,60
204,70
204,71
204,72
204,73
204,30
205,70
205,71
205,72
205,73
205,30
206,70
206,71
206,47
206,73
206,17
206,74
207,71
207,70
207,75
208,71
208,70
208,30
208,76
209,71
209,70
209,30
209,76
210,77
210,70
210,71
210,78
210,70
210,73
210,71
211,70
211,73
211,71
212,70
212,73
212,71
212,70
212,71
212,79
212,73
212,56
213,70
213,71
213,79
213,73
213,56
214,47
214,70
214,73
214,74
214,77
214,48
215,9
215,30
215,80
215,71
215,81
215,77
216,47
216,62
216,81
216,62
216,81
216,62
216,62
216,81
216,22
217,9
217,71
217,81
217,17
217,82
218,81
218,56
218,71
218,17
219,81
219,55
219,83
219,9
219,71
219,84
219,75
219,70
219,81
219,53
221,85
221,86
221,81
221,85
221,67
223,62
223,16
223,81
223,55
223,56
224,81
224,87
224,17
224,76
225,47
225,33
225,88
225,16
225,89
225,71
225,71
225,31
225,47
225,47
225,71
225,87
225,90
225,14
225,30
226,31
226,71
226,91
226,55
227,31
227,71
227,91
227,55
227,31
227,92
227,55
227,73
227,32
228,71
228,81
228,18
228,56
229,71
229,81
229,18
229,56
230,93
230,43
230,94
230,95
230,96
230,94
230,81
230,97
230,96
230,81
230,94
230,98
230,57
231,97
231,96
231,81
231,94
231,98
231,57
231,38
231,98
231,91
231,38
231,98
231,94
231,81
231,98
231,94
231,96
231,38
231,81
232,9
232,64
232,73
232,30
232,81
233,77
233,99
233,81
233,17
233,81
233,47
233,17
233,82
233,36
234,81
234,47
234,17
234,82
234,36
235,81
235,47
235,17
235,82
235,36
235,9
235,77
235,81
235,82
236,9
236,77
236,81
236,100
236,30
236,75
237,33
237,95
237,81
237,47
238,94
238,45
238,101
238,82
239,81
239,75
239,102
239,23
239,9
239,91
239,81
239,18
239,9
239,89
240,91
240,81
240,9
240,83
240,77
240,81
240,87
240,102
240,9
241,81
241,83
241,103
241,81
241,89
241,95
241,56
244,81
244,87
244,94
244,28
245,38
245,97
245,104
245,85
245,85
245,81
245,97
245,105
245,104
245,97
245,105
245,106
245,81
245,107
245,97
245,81
245,85
245,104
246,60
246,81
246,77
246,45
246,74
246,103
247,41
247,56
247,81
247,55
247,92
248,97
248,81
248,72
248,87
248,45
248,81
248,85
249,70
249,87
249,85
249,87
249,70
249,32
249,16
249,47
250,71
250,81
250,87
250,60
250,73
252,81
252,95
252,43
252,51
252,33
252,103
252,81
252,91
253,62
253,82
253,102
253,108
253,40
253,103
253,81
253,75
253,108
253,102
253,81
253,73
254,108
254,102
254,81
254,73
255,108
255,102
255,81
255,73
255,64
255,81
255,16
255,108
255,60
255,109
255,47
256,64
256,81
256,16
256,108
256,60
256,109
256,47
257,110
257,111
257,36
257,18
257,112
258,36
258,18
258,112
258,36
258,110
258,113
258,18
258,114
259,36
259,113
259,115
259,16
259,116
259,36
259,30
259,113
260,114
260,36
260,117
261,16
261,118
261,36
261,114
261,16
262,98
262,119
262,104
263,120
263,36
263,84
263,121
263,36
263,48
263,112
263,122
263,18
263,116
264,121
264,36
264,48
264,112
264,122
264,18
264,116
265,36
265,30
265,94
265,123
265,116
265,114
266,36
266,30
266,94
266,123
266,116
266,114
266,36
266,115
267,110
267,86
267,124
267,125
267,16
267,110
267,125
267,62
267,41
267,84
267,104
267,126
267,45
267,110
267,127
267,41
267,104
267,92
267,128
267,110
267,104
267,125
268,129
268,104
268,40
268,94
268,71
268,130
268,131
269,29
269,40
269,122
269,132
269,130
269,133
269,16
269,126
270,134
270,16
270,98
270,94
270,118
270,92
271,122
271,135
271,136
271,110
271,116
272,137
272,104
272,78
272,138
272,121
272,139
273,121
273,104
273,138
273,55
273,113
274,121
274,104
274,138
274,55
274,113
275,104
275,78
275,140
275,16
275,141
275,118
276,104
276,102
276,94
276,16
276,142
276,118
276,143
276,16
276,104
276,123
276,115
276,126
276,129
277,143
277,104
277,98
277,115
278,143
278,104
278,98
278,115
281,144
281,29
281,115
281,104
281,141
282,104
282,145
282,16
282,144
282,104
282,143
282,16
283,102
283,104
283,16
283,144
283,119
284,104
284,122
284,142
284,146
284,114
284,121
285,39
285,119
285,118
285,16
285,147
286,119
286,144
286,30
286,104
286,114
286,16
